title,user,author,entrytype,EXC,pn,peerReviewed,graduateschool,journal,preprint_id,URL,DOI,ISBN,ISSN,misc
Lifting to Passivity for H2-Gain-Scheduling Synthesis with Full Block Scalings,simtech,"Rösinger, Christian A. and Scherer, Carsten W.",journal-article,EXC2075,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2020.12.570,10.1016/j.ifacol.2020.12.570,,['2405-8963'],
"Lossless &lt;mml:math altimg=""si10.gif"" display=""inline"" overflow=""scroll"" xmlns:xocs=""http://www.elsevier.com/xml/xocs/dtd"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://www.elsevier.com/xml/ja/dtd"" xmlns:ja=""http://www.elsevier.com/xml/ja/dtd"" xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:tb=""http://www.elsevier.com/xml/common/table/dtd"" xmlns:sb=""http://www.elsevier.com/xml/common/struct-bib/dtd"" xmlns:ce=""http://www.elsevier.com/xml/common/dtd"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:cals=""http://www.elsevier.com/xml/common/cals/dtd"" xmlns:sa=""http://www.elsevier.com/xml/common/struct-aff/dtd""&gt;&lt;mml:msub&gt;&lt;mml:mrow&gt;&lt;mml:mi&gt;H&lt;/mml:mi&gt;&lt;/mml:mrow&gt;&lt;mml:mrow&gt;&lt;mml:mi&gt;∞&lt;/mml:mi&gt;&lt;/mml:mrow&gt;&lt;/mml:msub&gt;&lt;/mml:math&gt;-synthesis for 2D systems (special issue JCW)",simtech,"Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,Syst. Contr. Letters,,http://dx.doi.org/10.1016/j.sysconle.2016.02.011,10.1016/j.sysconle.2016.02.011,,['0167-6911'],
A Scalings Approach to H2-Gain-Scheduling Synthesis without Elimination,simtech,"Rösinger, Christian A. and Scherer, Carsten W.",journal-article,EXC2075,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2019.12.347,10.1016/j.ifacol.2019.12.347,,['2405-8963'],
Stability and performance analysis on Sobolev spaces,simtech,"Fetzer, Matthias and Scherer, Carsten W.",proceedings-article,EXC310,pn4,peerReviewed,,,,http://dx.doi.org/10.1109/cdc.2016.7799390,10.1109/cdc.2016.7799390,,,
Optimality of robust disturbance-feedback strategies,simtech,"Trottemant, E. J. and Scherer, C. W. and Mazo, M.",journal-article,EXC310,pn4,peerReviewed,,Int. J. Robust Nonlin,,http://dx.doi.org/10.1002/rnc.3360,10.1002/rnc.3360,,['1049-8923'],
A Local-in-Time Theory for Singular SDEs with Applications to Fluid Models with Transport Noise,simtech,"Alonso-Orán, Diego and Rohde, Christian and Tang, Hao",journal-article,EXC2075,pn1,,,arXiv preprint arXiv:2010.09972,,http://dx.doi.org/10.1007/s00332-021-09755-9,10.1007/s00332-021-09755-9,,"['0938-8974', '1432-1467']",
Electronic screening using a virtual Thomas–Fermi fluid for predicting wetting and phase transitions of ionic liquids at metal surfaces,simtech,"Schlaich, Alexander and Jin, Dongliang and Bocquet, Lyderic and Coasne, Benoit",journal-article,EXC2075,pn1,peerReviewed,,Nature materials,,http://dx.doi.org/10.1038/s41563-021-01121-0,10.1038/s41563-021-01121-0,,"['1476-1122', '1476-4660']",
From transfer matrices to realizations: Convergence properties and parametrization of robustness analysis conditions,simtech,"Scherer, Carsten W. and Köse, İ. Emre",journal-article,EXC310,pn4,peerReviewed,,Syst. Contr. Letters,,http://dx.doi.org/10.1016/j.sysconle.2013.04.001,10.1016/j.sysconle.2013.04.001,,['0167-6911'],
Output-Feedback Synthesis for a Class of Aperiodic Impulsive Systems,simtech,"Holicki, Tobias and Scherer, Carsten W.",journal-article,EXC2075,pn4,peerReviewed,,{IFAC}-{P}apers{O}nline,,http://dx.doi.org/10.1016/j.ifacol.2020.12.981,10.1016/j.ifacol.2020.12.981,,['2405-8963'],
State-feedback control of stochastic discrete-time linear switched systems with dwell time,simtech,"Allerhand, Liron I. and Gershon, Eli and Shaked, Uri",proceedings-article,EXC310,pn4,peerReviewed,,ECC 2015,,http://dx.doi.org/10.1109/ecc.2015.7330585,10.1109/ecc.2015.7330585,,,
Towards the Numerical Determination of the Splashing Threshold of Two-Component Drop Film Interactions,simtech,"Steigerwald, Jonas and Ibach, Matthias and Reutzsch, Jonathan and Weigand, Bernhard",book-chapter,EXC2075,pn1,peerReviewed,,,,http://dx.doi.org/10.1007/978-3-030-80602-6_17,10.1007/978-3-030-80602-6_17,"['9783030806019', '9783030806026']",,
